ID,Timestamp,PGN (Hex),PGN Definition,SPN Definitions,SPN Values
"91","2023-03-08 16:35:43.689592","0xFF04","FF00-FFFF Proprietary PGN Range","No SPNs defined","-"
"93","2023-03-08 16:35:43.711592","0xF001","Electronic Brake Controller 1 - EBC1","ASR Engine Control, ASR Brake Control, Anti-Lock Braking (ABS), EBS Brake Switch, Brake Pedal Position, ABS Off-road Switch, ASR Engine Control, ASR Brake Control, ASR Clutch Control, ASR Engine Control, ASR Brake Control, ASR Clutch Control, ASR Engine Control, ASR Brake Control, ASR Clutch Control, ASR Engine Control, ASR Brake Control, ASR Clutch Control, ASR Engine Control, ASR Brake Control, ASR Clutch Control","3.00, 3.00, 3.00, 3.00, 1.00, 3.00, 3.00, 3.00, 3.00, 3.00, 3.00, 3.00, 3.00, 3.00, 3.00, 3.00, 3.00, 3.00, 3.00, 3.00, 3.00"
"95","2023-03-08 16:35:43.733592","0xFF03","FF00-FFFF Proprietary PGN Range","No SPNs defined","-"
"96","2023-03-08 16:35:43.733592","0xF004","Electronic Engine Controller 1 - EEC1","Engine Torque Mode, Engine Starter Mode","3.00, 15.00"
"98","2023-03-08 16:35:43.755592","0xFF00","FF00-FFFF Proprietary PGN Range","No SPNs defined","-"
"99","2023-03-08 16:35:43.777592","0xFF01","FF00-FFFF Proprietary PGN Range","No SPNs defined","-"
"100","2023-03-08 16:35:43.777592","0xFF02","FF00-FFFF Proprietary PGN Range","No SPNs defined","-"
"101","2023-03-08 16:35:43.777592","0xFF04","FF00-FFFF Proprietary PGN Range","No SPNs defined","-"
"102","2023-03-08 16:35:43.777592","0xF004","Electronic Engine Controller 1 - EEC1","Engine Torque Mode, Engine Starter Mode","3.00, 15.00"
"105","2023-03-08 16:35:43.799592","0xF001","Electronic Brake Controller 1 - EBC1","ASR Engine Control, ASR Brake Control, Anti-Lock Braking (ABS), EBS Brake Switch, Brake Pedal Position, ABS Off-road Switch, ASR Engine Control, ASR Brake Control, ASR Clutch Control, ASR Engine Control, ASR Brake Control, ASR Clutch Control, ASR Engine Control, ASR Brake Control, ASR Clutch Control, ASR Engine Control, ASR Brake Control, ASR Clutch Control, ASR Engine Control, ASR Brake Control, ASR Clutch Control","3.00, 3.00, 3.00, 3.00, 1.00, 3.00, 3.00, 3.00, 3.00, 3.00, 3.00, 3.00, 3.00, 3.00, 3.00, 3.00, 3.00, 3.00, 3.00, 3.00, 3.00"
"107","2023-03-08 16:35:43.843592","0xF004","Electronic Engine Controller 1 - EEC1","Engine Torque Mode, Engine Starter Mode","3.00, 15.00"
"108","2023-03-08 16:35:43.843592","0xFF03","FF00-FFFF Proprietary PGN Range","No SPNs defined","-"
"109","2023-03-08 16:35:43.843592","0xFF05","FF00-FFFF Proprietary PGN Range","No SPNs defined","-"
"110","2023-03-08 16:35:43.865592","0xFF00","FF00-FFFF Proprietary PGN Range","No SPNs defined","-"
"111","2023-03-08 16:35:43.865592","0xFF01","FF00-FFFF Proprietary PGN Range","No SPNs defined","-"
"112","2023-03-08 16:35:43.887592","0xFF02","FF00-FFFF Proprietary PGN Range","No SPNs defined","-"
"113","2023-03-08 16:35:43.887592","0xF004","Electronic Engine Controller 1 - EEC1","Engine Torque Mode, Engine Starter Mode","3.00, 15.00"
"114","2023-03-08 16:35:43.887592","0xFF04","FF00-FFFF Proprietary PGN Range","No SPNs defined","-"
"116","2023-03-08 16:35:43.909592","0xF001","Electronic Brake Controller 1 - EBC1","ASR Engine Control, ASR Brake Control, Anti-Lock Braking (ABS), EBS Brake Switch, Brake Pedal Position, ABS Off-road Switch, ASR Engine Control, ASR Brake Control, ASR Clutch Control, ASR Engine Control, ASR Brake Control, ASR Clutch Control, ASR Engine Control, ASR Brake Control, ASR Clutch Control, ASR Engine Control, ASR Brake Control, ASR Clutch Control, ASR Engine Control, ASR Brake Control, ASR Clutch Control","3.00, 3.00, 3.00, 3.00, 1.00, 3.00, 3.00, 3.00, 3.00, 3.00, 3.00, 3.00, 3.00, 3.00, 3.00, 3.00, 3.00, 3.00, 3.00, 3.00, 3.00"
"118","2023-03-08 16:35:43.931592","0xF004","Electronic Engine Controller 1 - EEC1","Engine Torque Mode, Engine Starter Mode","3.00, 15.00"
"119","2023-03-08 16:35:43.931592","0xFF03","FF00-FFFF Proprietary PGN Range","No SPNs defined","-"
"120","2023-03-08 16:35:43.953592","0xFF00","FF00-FFFF Proprietary PGN Range","No SPNs defined","-"
"121","2023-03-08 16:35:43.975592","0xFF01","FF00-FFFF Proprietary PGN Range","No SPNs defined","-"
"123","2023-03-08 16:35:43.975592","0xFF02","FF00-FFFF Proprietary PGN Range","No SPNs defined","-"
"124","2023-03-08 16:35:43.997592","0xF004","Electronic Engine Controller 1 - EEC1","Engine Torque Mode, Engine Starter Mode","3.00, 15.00"
"125","2023-03-08 16:35:43.997592","0xFF04","FF00-FFFF Proprietary PGN Range","No SPNs defined","-"
"126","2023-03-08 16:35:43.997592","0xFECA","Definition not Present in SAE J1939 Standard","No SPNs defined","-"
"132","2023-03-08 16:35:43.997592","0xF001","Electronic Brake Controller 1 - EBC1","ASR Engine Control, ASR Brake Control, Anti-Lock Braking (ABS), EBS Brake Switch, Brake Pedal Position, ABS Off-road Switch, ASR Engine Control, ASR Brake Control, ASR Clutch Control, ASR Engine Control, ASR Brake Control, ASR Clutch Control, ASR Engine Control, ASR Brake Control, ASR Clutch Control, ASR Engine Control, ASR Brake Control, ASR Clutch Control, ASR Engine Control, ASR Brake Control, ASR Clutch Control","3.00, 3.00, 3.00, 3.00, 1.00, 3.00, 3.00, 3.00, 3.00, 3.00, 3.00, 3.00, 3.00, 3.00, 3.00, 3.00, 3.00, 3.00, 3.00, 3.00, 3.00"
"135","2023-03-08 16:35:44.041592","0xF004","Electronic Engine Controller 1 - EEC1","Engine Torque Mode, Engine Starter Mode","3.00, 15.00"
"136","2023-03-08 16:35:44.041592","0xFF03","FF00-FFFF Proprietary PGN Range","No SPNs defined","-"
"137","2023-03-08 16:35:44.063592","0xFF00","FF00-FFFF Proprietary PGN Range","No SPNs defined","-"
"138","2023-03-08 16:35:44.063592","0xFF01","FF00-FFFF Proprietary PGN Range","No SPNs defined","-"
"139","2023-03-08 16:35:44.085592","0xFF02","FF00-FFFF Proprietary PGN Range","No SPNs defined","-"
"140","2023-03-08 16:35:44.085592","0xF004","Electronic Engine Controller 1 - EEC1","Engine Torque Mode, Engine Starter Mode","3.00, 15.00"
"141","2023-03-08 16:35:44.085592","0xFF04","FF00-FFFF Proprietary PGN Range","No SPNs defined","-"
"143","2023-03-08 16:35:44.107592","0xF001","Electronic Brake Controller 1 - EBC1","ASR Engine Control, ASR Brake Control, Anti-Lock Braking (ABS), EBS Brake Switch, Brake Pedal Position, ABS Off-road Switch, ASR Engine Control, ASR Brake Control, ASR Clutch Control, ASR Engine Control, ASR Brake Control, ASR Clutch Control, ASR Engine Control, ASR Brake Control, ASR Clutch Control, ASR Engine Control, ASR Brake Control, ASR Clutch Control, ASR Engine Control, ASR Brake Control, ASR Clutch Control","3.00, 3.00, 3.00, 3.00, 1.00, 3.00, 3.00, 3.00, 3.00, 3.00, 3.00, 3.00, 3.00, 3.00, 3.00, 3.00, 3.00, 3.00, 3.00, 3.00, 3.00"
"145","2023-03-08 16:35:44.129592","0xE8FF","Definition not Present in SAE J1939 Standard","No SPNs defined","-"
"146","2023-03-08 16:35:44.129592","0xF004","Electronic Engine Controller 1 - EEC1","Engine Torque Mode, Engine Starter Mode","3.00, 15.00"
"147","2023-03-08 16:35:44.129592","0xFF03","FF00-FFFF Proprietary PGN Range","No SPNs defined","-"
"148","2023-03-08 16:35:44.151592","0xFF00","FF00-FFFF Proprietary PGN Range","No SPNs defined","-"
"149","2023-03-08 16:35:44.173592","0xFF01","FF00-FFFF Proprietary PGN Range","No SPNs defined","-"
"150","2023-03-08 16:35:44.173592","0xFF02","FF00-FFFF Proprietary PGN Range","No SPNs defined","-"
"151","2023-03-08 16:35:44.195592","0xF004","Electronic Engine Controller 1 - EEC1","Engine Torque Mode, Engine Starter Mode","3.00, 15.00"
"152","2023-03-08 16:35:44.195592","0xFF04","FF00-FFFF Proprietary PGN Range","No SPNs defined","-"
"154","2023-03-08 16:35:44.195592","0xF001","Electronic Brake Controller 1 - EBC1","ASR Engine Control, ASR Brake Control, Anti-Lock Braking (ABS), EBS Brake Switch, Brake Pedal Position, ABS Off-road Switch, ASR Engine Control, ASR Brake Control, ASR Clutch Control, ASR Engine Control, ASR Brake Control, ASR Clutch Control, ASR Engine Control, ASR Brake Control, ASR Clutch Control, ASR Engine Control, ASR Brake Control, ASR Clutch Control, ASR Engine Control, ASR Brake Control, ASR Clutch Control","3.00, 3.00, 3.00, 3.00, 1.00, 3.00, 3.00, 3.00, 3.00, 3.00, 3.00, 3.00, 3.00, 3.00, 3.00, 3.00, 3.00, 3.00, 3.00, 3.00, 3.00"
"156","2023-03-08 16:35:44.239592","0xF004","Electronic Engine Controller 1 - EEC1","Engine Torque Mode, Engine Starter Mode","3.00, 15.00"
"157","2023-03-08 16:35:44.239592","0xFF03","FF00-FFFF Proprietary PGN Range","No SPNs defined","-"
"159","2023-03-08 16:35:44.261592","0xFF00","FF00-FFFF Proprietary PGN Range","No SPNs defined","-"
"160","2023-03-08 16:35:44.261592","0xFF01","FF00-FFFF Proprietary PGN Range","No SPNs defined","-"
"161","2023-03-08 16:35:44.283592","0xFF02","FF00-FFFF Proprietary PGN Range","No SPNs defined","-"
"162","2023-03-08 16:35:44.283592","0xF004","Electronic Engine Controller 1 - EEC1","Engine Torque Mode, Engine Starter Mode","3.00, 15.00"
"163","2023-03-08 16:35:44.283592","0xFF04","FF00-FFFF Proprietary PGN Range","No SPNs defined","-"
"165","2023-03-08 16:35:44.305592","0xF001","Electronic Brake Controller 1 - EBC1","ASR Engine Control, ASR Brake Control, Anti-Lock Braking (ABS), EBS Brake Switch, Brake Pedal Position, ABS Off-road Switch, ASR Engine Control, ASR Brake Control, ASR Clutch Control, ASR Engine Control, ASR Brake Control, ASR Clutch Control, ASR Engine Control, ASR Brake Control, ASR Clutch Control, ASR Engine Control, ASR Brake Control, ASR Clutch Control, ASR Engine Control, ASR Brake Control, ASR Clutch Control","3.00, 3.00, 3.00, 3.00, 1.00, 3.00, 3.00, 3.00, 3.00, 3.00, 3.00, 3.00, 3.00, 3.00, 3.00, 3.00, 3.00, 3.00, 3.00, 3.00, 3.00"
"167","2023-03-08 16:35:44.327592","0xF004","Electronic Engine Controller 1 - EEC1","Engine Torque Mode, Engine Starter Mode","3.00, 15.00"
"168","2023-03-08 16:35:44.349592","0xFF03","FF00-FFFF Proprietary PGN Range","No SPNs defined","-"
"169","2023-03-08 16:35:44.349592","0xFF00","FF00-FFFF Proprietary PGN Range","No SPNs defined","-"
"170","2023-03-08 16:35:44.371592","0xFF01","FF00-FFFF Proprietary PGN Range","No SPNs defined","-"
"171","2023-03-08 16:35:44.371592","0xFF02","FF00-FFFF Proprietary PGN Range","No SPNs defined","-"
"172","2023-03-08 16:35:44.393592","0xF004","Electronic Engine Controller 1 - EEC1","Engine Torque Mode, Engine Starter Mode","3.00, 15.00"
"173","2023-03-08 16:35:44.393592","0xFF04","FF00-FFFF Proprietary PGN Range","No SPNs defined","-"
"175","2023-03-08 16:35:44.393592","0xF001","Electronic Brake Controller 1 - EBC1","ASR Engine Control, ASR Brake Control, Anti-Lock Braking (ABS), EBS Brake Switch, Brake Pedal Position, ABS Off-road Switch, ASR Engine Control, ASR Brake Control, ASR Clutch Control, ASR Engine Control, ASR Brake Control, ASR Clutch Control, ASR Engine Control, ASR Brake Control, ASR Clutch Control, ASR Engine Control, ASR Brake Control, ASR Clutch Control, ASR Engine Control, ASR Brake Control, ASR Clutch Control","3.00, 3.00, 3.00, 3.00, 1.00, 3.00, 3.00, 3.00, 3.00, 3.00, 3.00, 3.00, 3.00, 3.00, 3.00, 3.00, 3.00, 3.00, 3.00, 3.00, 3.00"
"177","2023-03-08 16:35:44.437592","0xF004","Electronic Engine Controller 1 - EEC1","Engine Torque Mode, Engine Starter Mode","3.00, 15.00"
"178","2023-03-08 16:35:44.437592","0xFF03","FF00-FFFF Proprietary PGN Range","No SPNs defined","-"
"179","2023-03-08 16:35:44.459592","0xFF00","FF00-FFFF Proprietary PGN Range","No SPNs defined","-"
"180","2023-03-08 16:35:44.459592","0xFF01","FF00-FFFF Proprietary PGN Range","No SPNs defined","-"
"182","2023-03-08 16:35:44.481592","0xFF02","FF00-FFFF Proprietary PGN Range","No SPNs defined","-"
"183","2023-03-08 16:35:44.481592","0xF004","Electronic Engine Controller 1 - EEC1","Engine Torque Mode, Engine Starter Mode","3.00, 15.00"
"184","2023-03-08 16:35:44.481592","0xFF04","FF00-FFFF Proprietary PGN Range","No SPNs defined","-"
"189","2023-03-08 16:35:44.503591","0xF001","Electronic Brake Controller 1 - EBC1","ASR Engine Control, ASR Brake Control, Anti-Lock Braking (ABS), EBS Brake Switch, Brake Pedal Position, ABS Off-road Switch, ASR Engine Control, ASR Brake Control, ASR Clutch Control, ASR Engine Control, ASR Brake Control, ASR Clutch Control, ASR Engine Control, ASR Brake Control, ASR Clutch Control, ASR Engine Control, ASR Brake Control, ASR Clutch Control, ASR Engine Control, ASR Brake Control, ASR Clutch Control","3.00, 3.00, 3.00, 3.00, 1.00, 3.00, 3.00, 3.00, 3.00, 3.00, 3.00, 3.00, 3.00, 3.00, 3.00, 3.00, 3.00, 3.00, 3.00, 3.00, 3.00"
"191","2023-03-08 16:35:44.547591","0xF004","Electronic Engine Controller 1 - EEC1","Engine Torque Mode, Engine Starter Mode","3.00, 15.00"
"192","2023-03-08 16:35:44.547591","0xFF03","FF00-FFFF Proprietary PGN Range","No SPNs defined","-"
"193","2023-03-08 16:35:44.569591","0xFF00","FF00-FFFF Proprietary PGN Range","No SPNs defined","-"
"194","2023-03-08 16:35:44.569591","0xFF01","FF00-FFFF Proprietary PGN Range","No SPNs defined","-"
"195","2023-03-08 16:35:44.569591","0xFF02","FF00-FFFF Proprietary PGN Range","No SPNs defined","-"
"196","2023-03-08 16:35:44.591591","0xF004","Electronic Engine Controller 1 - EEC1","Engine Torque Mode, Engine Starter Mode","3.00, 15.00"
"197","2023-03-08 16:35:44.591591","0xFF04","FF00-FFFF Proprietary PGN Range","No SPNs defined","-"
"199","2023-03-08 16:35:44.613591","0xF001","Electronic Brake Controller 1 - EBC1","ASR Engine Control, ASR Brake Control, Anti-Lock Braking (ABS), EBS Brake Switch, Brake Pedal Position, ABS Off-road Switch, ASR Engine Control, ASR Brake Control, ASR Clutch Control, ASR Engine Control, ASR Brake Control, ASR Clutch Control, ASR Engine Control, ASR Brake Control, ASR Clutch Control, ASR Engine Control, ASR Brake Control, ASR Clutch Control, ASR Engine Control, ASR Brake Control, ASR Clutch Control","3.00, 3.00, 3.00, 3.00, 1.00, 3.00, 3.00, 3.00, 3.00, 3.00, 3.00, 3.00, 3.00, 3.00, 3.00, 3.00, 3.00, 3.00, 3.00, 3.00, 3.00"
"201","2023-03-08 16:35:44.635591","0xF004","Electronic Engine Controller 1 - EEC1","Engine Torque Mode, Engine Starter Mode","3.00, 15.00"
"202","2023-03-08 16:35:44.635591","0xFF03","FF00-FFFF Proprietary PGN Range","No SPNs defined","-"
"204","2023-03-08 16:35:44.657591","0xFF00","FF00-FFFF Proprietary PGN Range","No SPNs defined","-"
"205","2023-03-08 16:35:44.679591","0xFF01","FF00-FFFF Proprietary PGN Range","No SPNs defined","-"
"206","2023-03-08 16:35:44.679591","0xFF02","FF00-FFFF Proprietary PGN Range","No SPNs defined","-"
"207","2023-03-08 16:35:44.679591","0xF004","Electronic Engine Controller 1 - EEC1","Engine Torque Mode, Engine Starter Mode","3.00, 15.00"
"208","2023-03-08 16:35:44.679591","0xFF04","FF00-FFFF Proprietary PGN Range","No SPNs defined","-"
